road_stats_id,road_stats_id_distance,year,dec_lat,dec_long,fatal_count,maj_inj_count,bicycle_death_count,bicycle_maj_inj_count,ped_death_count,ped_maj_inj_count,time_of_day,weather,relation_to_road,alcohol_related,speeding,speeding_related,aggressive_driving
609,5.59883007503243,2012,40.39369965,-80.01989746,0,1,0,0,0,0,2231,1,1,0,0,0,1
4652,10.6559214464139,2012,40.37030029,-80.22250366,0,1,0,0,0,0,2015,1,1,0,0,0,0
4136,9.51104925662756,2012,40.4435997,-80.02709961,0,1,0,0,0,0,100,1,1,1,0,0,0
820,14.823291071098,2012,40.44309998,-79.8144989,1,0,0,0,0,0,0,9,5,1,1,1,1
2109,1.48203154655909,2012,40.23680115,-79.95490265,0,1,0,0,0,0,1954,1,5,0,0,0,0
3806,2.7961165921273,2012,40.37319946,-79.79329681,0,1,0,0,0,0,1115,1,1,0,0,0,1
1534,8.21007406588012,2012,40.44860077,-80.01529694,0,1,0,0,0,0,645,1,1,0,0,0,0
3540,4.6083540345335,2012,40.42359924,-80.1072998,0,1,0,0,0,0,123,1,2,1,1,1,1
4754,5.97085120879016,2012,40.49169922,-80.01010132,0,1,0,0,0,0,1215,1,4,0,0,0,0
1812,5.53812621371159,2012,40.29589844,-79.87460327,0,1,0,0,0,1,45,1,1,1,0,0,0
3881,2.36231108421762,2012,40.44800186,-79.89769745,1,0,1,0,0,0,510,1,1,0,0,0,1
4095,1.35851068738046,2012,40.57360077,-79.79039764,0,1,0,0,0,0,1702,1,1,0,0,0,1
4328,7.8004277781022,2012,40.43460083,-79.9897995,1,0,0,0,0,0,1512,1,1,0,0,0,1
1781,5.79253722276356,2012,40.45410156,-79.99680328,0,1,0,0,0,0,2134,1,1,1,0,0,0
648,2.17073076600105,2012,40.51390076,-80.03009796,0,1,0,0,0,0,610,1,4,0,0,0,1
4787,16.0362975618782,2012,40.53749847,-80.01119995,0,1,0,0,0,0,1200,1,1,0,0,0,1
4126,9.41468544981606,2012,40.66049957,-79.87339783,0,1,0,0,0,0,1752,1,1,0,0,0,0
2640,4.22767627163555,2012,40.49980164,-79.81330109,0,1,0,1,0,0,1725,1,1,0,0,0,0
688,22.4465308683824,2012,40.48519897,-80.0345993,0,1,0,0,0,0,130,2,4,0,0,0,0
1508,0.723255285600589,2012,40.44169998,-80.09470367,0,1,0,0,0,0,1503,1,1,0,0,0,0
2629,7.19990228114919,2012,40.44409943,-80.02809906,0,1,0,0,0,0,1930,1,1,0,0,0,1
1612,2.49181421790916,2012,40.59329987,-80.09549713,0,1,0,0,0,0,25,2,2,0,0,1,1
104,7.12663559487689,2012,40.45059967,-79.9980011,0,1,0,0,0,0,1739,1,1,0,0,0,1
1517,1.94276198521646,2012,40.32730103,-80.14150238,1,0,0,0,0,0,2317,1,1,1,1,1,1
2893,6.13515356581364,2012,40.35559845,-80.0510025,0,1,0,0,0,0,1757,1,1,0,0,1,1
4410,16.339964714346,2012,40.52220154,-79.84249878,1,0,0,0,0,0,1729,1,1,0,0,0,1
4844,1.99885972495101,2012,40.5646019,-79.96510315,0,1,0,0,0,0,2300,1,1,0,0,0,1
75,16.0799895472984,2012,40.4219017,-80.03089905,0,1,0,0,0,0,948,1,3,0,0,0,1
4072,2.94671020601278,2012,40.4416008,-80.24069977,0,1,0,0,0,0,1401,1,1,0,0,0,1
421,10.5637921298236,2012,40.5237999,-79.81919861,1,0,0,0,0,0,123,1,2,1,0,0,0
3976,7.71109202990653,2012,40.51190186,-79.85440063,1,0,0,0,0,0,20,1,4,1,1,1,1
4980,12.7598055099748,2012,40.46419907,-80.02059937,0,1,0,0,0,0,2315,1,2,0,0,0,0
1161,4.71102792221884,2012,40.6108017,-79.76059723,0,1,0,0,0,0,1449,1,3,0,0,0,0
3101,8.9381360396232,2012,40.51010132,-80.23609924,0,1,0,0,0,0,11,1,1,0,0,0,0
3836,6.70812869779949,2012,40.48899841,-79.9539032,1,0,0,0,0,0,23,1,1,0,1,1,1
2219,2.31623026559113,2012,40.28170013,-79.90190125,0,1,0,0,0,1,1,1,2,0,0,0,0
731,8.02750982351077,2012,40.58560181,-80.06939697,0,1,0,0,0,0,52,1,5,1,0,1,1
1987,5.02524922229979,2012,40.63159943,-79.96060181,0,1,0,0,0,0,1657,2,1,0,0,1,1
895,9.67781814603912,2012,40.51369858,-79.95130157,1,0,0,0,0,0,213,1,4,1,0,0,0
3715,1.82491253267511,2012,40.40639877,-79.82649994,0,1,0,0,0,1,2116,2,1,1,0,0,0
834,18.4537106035349,2012,40.43310165,-79.76139832,0,1,0,0,0,0,2051,1,1,0,0,1,1
1046,12.8733709796447,2012,40.41059875,-79.72869873,1,1,0,0,0,0,1955,1,1,0,0,0,0
1560,0.576402822279204,2012,40.55889893,-80.2052002,0,1,0,0,0,0,1037,1,1,0,1,1,1
3764,1.96980767331948,2012,40.40729904,-79.83110046,0,1,0,0,0,0,1243,1,1,0,0,0,1
111,11.4923229942712,2012,40.42580032,-79.90319824,0,1,0,0,0,0,200,1,1,0,1,1,1
480,12.8854093066301,2012,40.46160126,-79.96710205,1,0,0,0,0,0,331,1,1,0,1,1,1
3884,11.5224366387149,2012,40.4034996,-80.05809784,0,1,0,0,0,0,1254,1,1,0,0,0,1
3173,5.74973782353832,2012,40.43489838,-80.03410339,0,1,0,0,0,0,720,1,1,0,0,0,0
799,4.49491556792101,2012,40.41429901,-79.99220276,1,0,0,0,0,0,435,1,5,1,1,1,1
1559,4.79682329434323,2012,40.33169937,-79.94580078,1,0,0,0,1,0,2044,1,1,0,0,0,0
4990,3.04970529463288,2012,40.47109985,-80.09130096,0,1,0,0,0,0,2320,1,5,1,0,0,0
960,18.2344302261177,2012,40.44630051,-79.89279938,1,0,1,0,0,0,2200,1,1,0,0,0,0
3480,0.404713692863539,2012,40.41279984,-80.0102005,0,1,0,0,0,0,1425,2,1,0,0,0,0
4743,11.0258926368616,2012,40.52159882,-80.21759796,0,1,0,0,0,0,1623,2,1,0,0,0,1
572,0.992751581930581,2012,40.43529892,-79.96869659,1,0,0,0,0,0,808,2,1,0,0,1,1
421,10.5637921298236,2012,40.5237999,-79.81919861,0,1,0,0,0,0,1555,2,2,0,0,1,1
3881,2.5862371158598,2012,40.44829941,-79.89859772,1,0,0,0,1,0,2223,1,1,1,0,0,0
4687,4.5640551720326,2012,40.51929855,-80.22360229,0,1,0,0,0,0,1756,2,1,0,0,0,0
529,12.031526632082,2012,40.43579865,-79.89600372,0,1,0,0,0,1,1930,2,1,0,0,0,0
4934,33.4315211265613,2012,40.46960068,-79.92040253,0,1,0,0,0,0,2139,1,5,0,0,0,0
927,1.73322390685466,2012,40.59949875,-79.94740295,0,1,0,0,0,0,1805,1,1,0,0,0,1
1382,13.124179641821,2012,40.45299911,-80.03939819,0,1,0,0,0,0,145,1,1,1,0,0,1
1309,6.86541677534982,2012,40.47449875,-79.97149658,0,1,0,0,0,0,1730,1,1,0,1,1,1
2748,9.86663325799375,2012,40.43650055,-79.96389771,0,1,0,0,0,0,1151,1,1,0,0,0,0
4935,7.24729155920397,2012,40.46110153,-79.90979767,0,1,0,0,0,1,1958,1,1,0,0,0,0
1225,17.5847671903836,2012,40.49440002,-79.87090302,1,1,0,0,0,0,1548,2,2,0,0,0,0
3885,12.4276087976189,2012,40.32590103,-79.83940125,0,1,0,0,0,0,28,2,4,0,0,0,1
774,9.62062999509635,2012,40.47159958,-80.07219696,0,1,0,0,0,0,1019,1,1,1,0,0,0
850,6.23381776453034,2012,40.32490158,-79.90950012,0,1,0,0,0,0,1003,1,4,0,0,0,0
2803,10.3063319515651,2012,40.43659973,-79.99720001,0,1,0,0,0,0,1233,1,1,1,0,0,0
63,11.8708798264543,2012,40.41809845,-80.08809662,0,1,0,0,0,0,1315,1,2,0,0,0,0
4000,18.696465264814,2012,40.44800186,-79.9905014,1,0,0,0,1,0,708,2,1,0,0,0,1
957,7.89931856781548,2012,40.43780136,-79.95420074,0,1,0,0,0,1,649,1,1,0,0,0,0
111,5.10164246313112,2012,40.42559814,-79.90619659,0,1,0,0,0,0,319,1,1,0,0,1,1
3771,22.058470028655,2012,40.32379913,-79.89250183,0,1,0,0,0,1,1511,1,6,0,0,0,0
3026,13.1018393108824,2012,40.43920135,-80.21289825,0,1,0,0,0,1,1837,2,1,0,0,0,0
3632,5.24842233892462,2012,40.42409897,-79.88749695,0,1,0,0,0,1,1802,4,1,0,0,0,0
2965,11.9504404258194,2012,40.52780151,-79.80660248,0,1,0,0,0,0,155,1,5,0,1,1,1
125,14.6218065357611,2012,40.43170166,-79.87220001,0,1,0,0,0,0,425,1,1,1,0,0,0
4256,3.73945396487595,2011,40.40919876,-80.01439667,0,1,0,0,0,0,845,1,1,0,0,0,0
1827,11.3413338577046,2011,40.34790039,-79.93900299,0,1,0,0,0,0,713,1,1,0,0,1,1
3163,1.82098198597633,2011,40.47380066,-80.06189728,1,0,0,0,0,0,642,1,1,0,0,1,1
3490,15.063114702992,2011,40.44179916,-80.18990326,0,1,0,0,0,0,1913,1,5,1,1,1,1
